state,year,cigs,loggdppercap,retprice,pctage1524,beerpercap,cigsalespercap88,cigsalespercap80,cigsalespercap75
AR,1971,104.1,9.644,89.878,0.165,18.52,121.5,131.8,114.8
AR,1972,103.9,9.644,89.878,0.165,18.52,121.5,131.8,114.8
AR,1973,108,9.644,89.878,0.165,18.52,121.5,131.8,114.8
AR,1974,109.7,9.644,89.878,0.165,18.52,121.5,131.8,114.8
AR,1975,114.8,9.644,89.878,0.165,18.52,121.5,131.8,114.8
AR,1976,119.1,9.644,89.878,0.165,18.52,121.5,131.8,114.8
AR,1977,122.6,9.644,89.878,0.165,18.52,121.5,131.8,114.8
AR,1978,127.3,9.644,89.878,0.165,18.52,121.5,131.8,114.8
AR,1979,126.5,9.644,89.878,0.165,18.52,121.5,131.8,114.8
AR,1980,131.8,9.644,89.878,0.165,18.52,121.5,131.8,114.8
AR,1981,128.7,9.644,89.878,0.165,18.52,121.5,131.8,114.8
AR,1982,127.4,9.644,89.878,0.165,18.52,121.5,131.8,114.8
AR,1983,128,9.644,89.878,0.165,18.52,121.5,131.8,114.8
AR,1984,123.1,9.644,89.878,0.165,18.52,121.5,131.8,114.8
AR,1985,125.8,9.644,89.878,0.165,18.52,121.5,131.8,114.8
AR,1986,126,9.644,89.878,0.165,18.52,121.5,131.8,114.8
AR,1987,122.3,9.644,89.878,0.165,18.52,121.5,131.8,114.8
AR,1988,121.5,9.644,89.878,0.165,18.52,121.5,131.8,114.8
AR,1989,118.3,9.644,89.878,0.165,18.52,121.5,131.8,114.8
AR,1990,113.1,9.644,89.878,0.165,18.52,121.5,131.8,114.8
AR,1991,116.8,9.644,89.878,0.165,18.52,121.5,131.8,114.8
AR,1992,126,9.644,89.878,0.165,18.52,121.5,131.8,114.8
AR,1993,113.8,9.644,89.878,0.165,18.52,121.5,131.8,114.8
AR,1994,108.8,9.644,89.878,0.165,18.52,121.5,131.8,114.8
AR,1995,113,9.644,89.878,0.165,18.52,121.5,131.8,114.8
AR,1996,110.7,9.644,89.878,0.165,18.52,121.5,131.8,114.8
AR,1997,108.7,9.644,89.878,0.165,18.52,121.5,131.8,114.8
AR,1998,109.5,9.644,89.878,0.165,18.52,121.5,131.8,114.8
AR,1999,104.8,9.644,89.878,0.165,18.52,121.5,131.8,114.8
AR,2000,99.4,9.644,89.878,0.165,18.52,121.5,131.8,114.8
CA,1970,123,10.077,89.422,0.174,24.28,90.1,120.2,127.1
CA,1971,121,10.077,89.422,0.174,24.28,90.1,120.2,127.1
CA,1972,123.5,10.077,89.422,0.174,24.28,90.1,120.2,127.1
CA,1973,124.4,10.077,89.422,0.174,24.28,90.1,120.2,127.1
CA,1974,126.7,10.077,89.422,0.174,24.28,90.1,120.2,127.1
CA,1975,127.1,10.077,89.422,0.174,24.28,90.1,120.2,127.1
CA,1976,128,10.077,89.422,0.174,24.28,90.1,120.2,127.1
CA,1977,126.4,10.077,89.422,0.174,24.28,90.1,120.2,127.1
CA,1978,126.1,10.077,89.422,0.174,24.28,90.1,120.2,127.1
CA,1979,121.9,10.077,89.422,0.174,24.28,90.1,120.2,127.1
CA,1980,120.2,10.077,89.422,0.174,24.28,90.1,120.2,127.1
CA,1981,118.6,10.077,89.422,0.174,24.28,90.1,120.2,127.1
CA,1982,115.4,10.077,89.422,0.174,24.28,90.1,120.2,127.1
CA,1983,110.8,10.077,89.422,0.174,24.28,90.1,120.2,127.1
CA,1984,104.8,10.077,89.422,0.174,24.28,90.1,120.2,127.1
CA,1985,102.8,10.077,89.422,0.174,24.28,90.1,120.2,127.1
CA,1986,99.7,10.077,89.422,0.174,24.28,90.1,120.2,127.1
CA,1987,97.5,10.077,89.422,0.174,24.28,90.1,120.2,127.1
CA,1988,90.1,10.077,89.422,0.174,24.28,90.1,120.2,127.1
CA,1989,82.4,10.077,89.422,0.174,24.28,90.1,120.2,127.1
CA,1990,77.8,10.077,89.422,0.174,24.28,90.1,120.2,127.1
CA,1991,68.7,10.077,89.422,0.174,24.28,90.1,120.2,127.1
CA,1992,67.5,10.077,89.422,0.174,24.28,90.1,120.2,127.1
CA,1993,63.4,10.077,89.422,0.174,24.28,90.1,120.2,127.1
CA,1994,58.6,10.077,89.422,0.174,24.28,90.1,120.2,127.1
CA,1995,56.4,10.077,89.422,0.174,24.28,90.1,120.2,127.1
CA,1996,54.5,10.077,89.422,0.174,24.28,90.1,120.2,127.1
CA,1997,53.8,10.077,89.422,0.174,24.28,90.1,120.2,127.1
CA,1998,52.3,10.077,89.422,0.174,24.28,90.1,120.2,127.1
CA,1999,47.2,10.077,89.422,0.174,24.28,90.1,120.2,127.1
CA,2000,41.6,10.077,89.422,0.174,24.28,90.1,120.2,127.1
CO,1970,124.8,9.984,82.622,0.174,25.08,94.6,131,131
CO,1971,125.5,9.984,82.622,0.174,25.08,94.6,131,131
CO,1972,134.3,9.984,82.622,0.174,25.08,94.6,131,131
CO,1973,137.9,9.984,82.622,0.174,25.08,94.6,131,131
CO,1974,132.8,9.984,82.622,0.174,25.08,94.6,131,131
CO,1975,131,9.984,82.622,0.174,25.08,94.6,131,131
CO,1976,134.2,9.984,82.622,0.174,25.08,94.6,131,131
CO,1977,132,9.984,82.622,0.174,25.08,94.6,131,131
CO,1978,129.2,9.984,82.622,0.174,25.08,94.6,131,131
CO,1979,131.5,9.984,82.622,0.174,25.08,94.6,131,131
CO,1980,131,9.984,82.622,0.174,25.08,94.6,131,131
CO,1981,133.8,9.984,82.622,0.174,25.08,94.6,131,131
CO,1982,130.5,9.984,82.622,0.174,25.08,94.6,131,131
CO,1983,125.3,9.984,82.622,0.174,25.08,94.6,131,131
CO,1984,119.7,9.984,82.622,0.174,25.08,94.6,131,131
CO,1985,112.4,9.984,82.622,0.174,25.08,94.6,131,131
CO,1986,109.9,9.984,82.622,0.174,25.08,94.6,131,131
CO,1987,102.4,9.984,82.622,0.174,25.08,94.6,131,131
CO,1988,94.6,9.984,82.622,0.174,25.08,94.6,131,131
CO,1989,88.8,9.984,82.622,0.174,25.08,94.6,131,131
CO,1990,87.4,9.984,82.622,0.174,25.08,94.6,131,131
CO,1991,90.2,9.984,82.622,0.174,25.08,94.6,131,131
CO,1992,88.3,9.984,82.622,0.174,25.08,94.6,131,131
CO,1993,88.6,9.984,82.622,0.174,25.08,94.6,131,131
CO,1994,89.1,9.984,82.622,0.174,25.08,94.6,131,131
CO,1995,85.4,9.984,82.622,0.174,25.08,94.6,131,131
CO,1996,83.1,9.984,82.622,0.174,25.08,94.6,131,131
CO,1997,81.3,9.984,82.622,0.174,25.08,94.6,131,131
CO,1998,81.2,9.984,82.622,0.174,25.08,94.6,131,131
CO,1999,79.6,9.984,82.622,0.174,25.08,94.6,131,131
CO,2000,73,9.984,82.622,0.174,25.08,94.6,131,131
CT,1970,120,10.188,103.478,0.164,20.7,104.8,118,110.2
CT,1971,117.6,10.188,103.478,0.164,20.7,104.8,118,110.2
CT,1972,110.8,10.188,103.478,0.164,20.7,104.8,118,110.2
CT,1973,109.3,10.188,103.478,0.164,20.7,104.8,118,110.2
CT,1974,112.4,10.188,103.478,0.164,20.7,104.8,118,110.2
CT,1975,110.2,10.188,103.478,0.164,20.7,104.8,118,110.2
CT,1976,113.4,10.188,103.478,0.164,20.7,104.8,118,110.2
CT,1977,117.3,10.188,103.478,0.164,20.7,104.8,118,110.2
CT,1978,117.5,10.188,103.478,0.164,20.7,104.8,118,110.2
CT,1979,117.4,10.188,103.478,0.164,20.7,104.8,118,110.2
CT,1980,118,10.188,103.478,0.164,20.7,104.8,118,110.2
CT,1981,116.4,10.188,103.478,0.164,20.7,104.8,118,110.2
CT,1982,114.7,10.188,103.478,0.164,20.7,104.8,118,110.2
CT,1983,114.1,10.188,103.478,0.164,20.7,104.8,118,110.2
CT,1984,112.5,10.188,103.478,0.164,20.7,104.8,118,110.2
CT,1985,111,10.188,103.478,0.164,20.7,104.8,118,110.2
CT,1986,108.5,10.188,103.478,0.164,20.7,104.8,118,110.2
CT,1987,109,10.188,103.478,0.164,20.7,104.8,118,110.2
CT,1988,104.8,10.188,103.478,0.164,20.7,104.8,118,110.2
CT,1989,100.6,10.188,103.478,0.164,20.7,104.8,118,110.2
CT,1990,91.5,10.188,103.478,0.164,20.7,104.8,118,110.2
CT,1991,86.7,10.188,103.478,0.164,20.7,104.8,118,110.2
CT,1992,83.5,10.188,103.478,0.164,20.7,104.8,118,110.2
CT,1993,79.1,10.188,103.478,0.164,20.7,104.8,118,110.2
CT,1994,76.6,10.188,103.478,0.164,20.7,104.8,118,110.2
CT,1995,79.3,10.188,103.478,0.164,20.7,104.8,118,110.2
CT,1996,76,10.188,103.478,0.164,20.7,104.8,118,110.2
CT,1997,75.9,10.188,103.478,0.164,20.7,104.8,118,110.2
CT,1998,75.5,10.188,103.478,0.164,20.7,104.8,118,110.2
CT,1999,73.4,10.188,103.478,0.164,20.7,104.8,118,110.2
CT,2000,71.4,10.188,103.478,0.164,20.7,104.8,118,110.2
DE,1970,155,9.975,90.056,0.178,26.08,137.1,150.5,147.6
DE,1971,161.1,9.975,90.056,0.178,26.08,137.1,150.5,147.6
DE,1972,156.3,9.975,90.056,0.178,26.08,137.1,150.5,147.6
DE,1973,154.7,9.975,90.056,0.178,26.08,137.1,150.5,147.6
DE,1974,151.3,9.975,90.056,0.178,26.08,137.1,150.5,147.6
DE,1975,147.6,9.975,90.056,0.178,26.08,137.1,150.5,147.6
DE,1976,153,9.975,90.056,0.178,26.08,137.1,150.5,147.6
DE,1977,153.3,9.975,90.056,0.178,26.08,137.1,150.5,147.6
DE,1978,155.5,9.975,90.056,0.178,26.08,137.1,150.5,147.6
DE,1979,150.2,9.975,90.056,0.178,26.08,137.1,150.5,147.6
DE,1980,150.5,9.975,90.056,0.178,26.08,137.1,150.5,147.6
DE,1981,152.6,9.975,90.056,0.178,26.08,137.1,150.5,147.6
DE,1982,154.1,9.975,90.056,0.178,26.08,137.1,150.5,147.6
DE,1983,149.6,9.975,90.056,0.178,26.08,137.1,150.5,147.6
DE,1984,144,9.975,90.056,0.178,26.08,137.1,150.5,147.6
DE,1985,144.5,9.975,90.056,0.178,26.08,137.1,150.5,147.6
DE,1986,142.4,9.975,90.056,0.178,26.08,137.1,150.5,147.6
DE,1987,141,9.975,90.056,0.178,26.08,137.1,150.5,147.6
DE,1988,137.1,9.975,90.056,0.178,26.08,137.1,150.5,147.6
DE,1989,131.7,9.975,90.056,0.178,26.08,137.1,150.5,147.6
DE,1990,127.2,9.975,90.056,0.178,26.08,137.1,150.5,147.6
DE,1991,118.8,9.975,90.056,0.178,26.08,137.1,150.5,147.6
DE,1992,120,9.975,90.056,0.178,26.08,137.1,150.5,147.6
DE,1993,123.8,9.975,90.056,0.178,26.08,137.1,150.5,147.6
DE,1994,126.1,9.975,90.056,0.178,26.08,137.1,150.5,147.6
DE,1995,127.2,9.975,90.056,0.178,26.08,137.1,150.5,147.6
DE,1996,128.3,9.975,90.056,0.178,26.08,137.1,150.5,147.6
DE,1997,124.1,9.975,90.056,0.178,26.08,137.1,150.5,147.6
DE,1998,132.8,9.975,90.056,0.178,26.08,137.1,150.5,147.6
DE,1999,139.5,9.975,90.056,0.178,26.08,137.1,150.5,147.6
DE,2000,140.7,9.975,90.056,0.178,26.08,137.1,150.5,147.6
GA,1970,109.9,9.817,84.367,0.177,21.76,124.1,134,122.9
GA,1971,115.7,9.817,84.367,0.177,21.76,124.1,134,122.9
GA,1972,117,9.817,84.367,0.177,21.76,124.1,134,122.9
GA,1973,119.8,9.817,84.367,0.177,21.76,124.1,134,122.9
GA,1974,123.7,9.817,84.367,0.177,21.76,124.1,134,122.9
GA,1975,122.9,9.817,84.367,0.177,21.76,124.1,134,122.9
GA,1976,125.9,9.817,84.367,0.177,21.76,124.1,134,122.9
GA,1977,127.9,9.817,84.367,0.177,21.76,124.1,134,122.9
GA,1978,130.6,9.817,84.367,0.177,21.76,124.1,134,122.9
GA,1979,131,9.817,84.367,0.177,21.76,124.1,134,122.9
GA,1980,134,9.817,84.367,0.177,21.76,124.1,134,122.9
GA,1981,131.7,9.817,84.367,0.177,21.76,124.1,134,122.9
GA,1982,131.2,9.817,84.367,0.177,21.76,124.1,134,122.9
GA,1983,128.6,9.817,84.367,0.177,21.76,124.1,134,122.9
GA,1984,126.3,9.817,84.367,0.177,21.76,124.1,134,122.9
GA,1985,128.8,9.817,84.367,0.177,21.76,124.1,134,122.9
GA,1986,129,9.817,84.367,0.177,21.76,124.1,134,122.9
GA,1987,129.3,9.817,84.367,0.177,21.76,124.1,134,122.9
GA,1988,124.1,9.817,84.367,0.177,21.76,124.1,134,122.9
GA,1989,117.1,9.817,84.367,0.177,21.76,124.1,134,122.9
GA,1990,113.8,9.817,84.367,0.177,21.76,124.1,134,122.9
GA,1991,109.6,9.817,84.367,0.177,21.76,124.1,134,122.9
GA,1992,109.2,9.817,84.367,0.177,21.76,124.1,134,122.9
GA,1993,109.2,9.817,84.367,0.177,21.76,124.1,134,122.9
GA,1994,107.8,9.817,84.367,0.177,21.76,124.1,134,122.9
GA,1995,100.3,9.817,84.367,0.177,21.76,124.1,134,122.9
GA,1996,102.7,9.817,84.367,0.177,21.76,124.1,134,122.9
GA,1997,100.6,9.817,84.367,0.177,21.76,124.1,134,122.9
GA,1998,100.5,9.817,84.367,0.177,21.76,124.1,134,122.9
GA,1999,97.1,9.817,84.367,0.177,21.76,124.1,134,122.9
GA,2000,88.4,9.817,84.367,0.177,21.76,124.1,134,122.9
IA,1970,108.5,9.837,90.656,0.17,23.24,100.2,124.6,120.5
IA,1971,108.4,9.837,90.656,0.17,23.24,100.2,124.6,120.5
IA,1972,109.4,9.837,90.656,0.17,23.24,100.2,124.6,120.5
IA,1973,110.6,9.837,90.656,0.17,23.24,100.2,124.6,120.5
IA,1974,116.1,9.837,90.656,0.17,23.24,100.2,124.6,120.5
IA,1975,120.5,9.837,90.656,0.17,23.24,100.2,124.6,120.5
IA,1976,124.4,9.837,90.656,0.17,23.24,100.2,124.6,120.5
IA,1977,125.5,9.837,90.656,0.17,23.24,100.2,124.6,120.5
IA,1978,127.1,9.837,90.656,0.17,23.24,100.2,124.6,120.5
IA,1979,124.2,9.837,90.656,0.17,23.24,100.2,124.6,120.5
IA,1980,124.6,9.837,90.656,0.17,23.24,100.2,124.6,120.5
IA,1981,132.9,9.837,90.656,0.17,23.24,100.2,124.6,120.5
IA,1982,116.2,9.837,90.656,0.17,23.24,100.2,124.6,120.5
IA,1983,115.6,9.837,90.656,0.17,23.24,100.2,124.6,120.5
IA,1984,111.2,9.837,90.656,0.17,23.24,100.2,124.6,120.5
IA,1985,109.4,9.837,90.656,0.17,23.24,100.2,124.6,120.5
IA,1986,104.1,9.837,90.656,0.17,23.24,100.2,124.6,120.5
IA,1987,101.1,9.837,90.656,0.17,23.24,100.2,124.6,120.5
IA,1988,100.2,9.837,90.656,0.17,23.24,100.2,124.6,120.5
IA,1989,94.4,9.837,90.656,0.17,23.24,100.2,124.6,120.5
IA,1990,95.4,9.837,90.656,0.17,23.24,100.2,124.6,120.5
IA,1991,97.1,9.837,90.656,0.17,23.24,100.2,124.6,120.5
IA,1992,95.2,9.837,90.656,0.17,23.24,100.2,124.6,120.5
IA,1993,92.5,9.837,90.656,0.17,23.24,100.2,124.6,120.5
IA,1994,93.4,9.837,90.656,0.17,23.24,100.2,124.6,120.5
IA,1995,93,9.837,90.656,0.17,23.24,100.2,124.6,120.5
IA,1996,94,9.837,90.656,0.17,23.24,100.2,124.6,120.5
IA,1997,93.9,9.837,90.656,0.17,23.24,100.2,124.6,120.5
IA,1998,94,9.837,90.656,0.17,23.24,100.2,124.6,120.5
IA,1999,91.7,9.837,90.656,0.17,23.24,100.2,124.6,120.5
IA,2000,88.9,9.837,90.656,0.17,23.24,100.2,124.6,120.5
ID,1970,102.4,9.711,86.078,0.152,22.22,84.5,115.2,123.3
ID,1971,108.5,9.711,86.078,0.152,22.22,84.5,115.2,123.3
ID,1972,126.1,9.711,86.078,0.152,22.22,84.5,115.2,123.3
ID,1973,121.8,9.711,86.078,0.152,22.22,84.5,115.2,123.3
ID,1974,125.6,9.711,86.078,0.152,22.22,84.5,115.2,123.3
ID,1975,123.3,9.711,86.078,0.152,22.22,84.5,115.2,123.3
ID,1976,125.1,9.711,86.078,0.152,22.22,84.5,115.2,123.3
ID,1977,125,9.711,86.078,0.152,22.22,84.5,115.2,123.3
ID,1978,122.8,9.711,86.078,0.152,22.22,84.5,115.2,123.3
ID,1979,117.5,9.711,86.078,0.152,22.22,84.5,115.2,123.3
ID,1980,115.2,9.711,86.078,0.152,22.22,84.5,115.2,123.3
ID,1981,114.1,9.711,86.078,0.152,22.22,84.5,115.2,123.3
ID,1982,111.5,9.711,86.078,0.152,22.22,84.5,115.2,123.3
ID,1983,111.3,9.711,86.078,0.152,22.22,84.5,115.2,123.3
ID,1984,103.6,9.711,86.078,0.152,22.22,84.5,115.2,123.3
ID,1985,100.7,9.711,86.078,0.152,22.22,84.5,115.2,123.3
ID,1986,96.7,9.711,86.078,0.152,22.22,84.5,115.2,123.3
ID,1987,95,9.711,86.078,0.152,22.22,84.5,115.2,123.3
ID,1988,84.5,9.711,86.078,0.152,22.22,84.5,115.2,123.3
ID,1989,78.4,9.711,86.078,0.152,22.22,84.5,115.2,123.3
ID,1990,90.1,9.711,86.078,0.152,22.22,84.5,115.2,123.3
ID,1991,85.4,9.711,86.078,0.152,22.22,84.5,115.2,123.3
ID,1992,85.1,9.711,86.078,0.152,22.22,84.5,115.2,123.3
ID,1993,86.7,9.711,86.078,0.152,22.22,84.5,115.2,123.3
ID,1994,93,9.711,86.078,0.152,22.22,84.5,115.2,123.3
ID,1995,78.2,9.711,86.078,0.152,22.22,84.5,115.2,123.3
ID,1996,73.6,9.711,86.078,0.152,22.22,84.5,115.2,123.3
ID,1997,75,9.711,86.078,0.152,22.22,84.5,115.2,123.3
ID,1998,78.9,9.711,86.078,0.152,22.22,84.5,115.2,123.3
ID,1999,75.1,9.711,86.078,0.152,22.22,84.5,115.2,123.3
ID,2000,66.9,9.711,86.078,0.152,22.22,84.5,115.2,123.3
IL,1970,124.8,10.007,89.833,0.17,24.74,107.6,135.2,131.8
IL,1971,125.6,10.007,89.833,0.17,24.74,107.6,135.2,131.8
IL,1972,126.6,10.007,89.833,0.17,24.74,107.6,135.2,131.8
IL,1973,124.4,10.007,89.833,0.17,24.74,107.6,135.2,131.8
IL,1974,131.9,10.007,89.833,0.17,24.74,107.6,135.2,131.8
IL,1975,131.8,10.007,89.833,0.17,24.74,107.6,135.2,131.8
IL,1976,134.4,10.007,89.833,0.17,24.74,107.6,135.2,131.8
IL,1977,134,10.007,89.833,0.17,24.74,107.6,135.2,131.8
IL,1978,136.7,10.007,89.833,0.17,24.74,107.6,135.2,131.8
IL,1979,135.3,10.007,89.833,0.17,24.74,107.6,135.2,131.8
IL,1980,135.2,10.007,89.833,0.17,24.74,107.6,135.2,131.8
IL,1981,133,10.007,89.833,0.17,24.74,107.6,135.2,131.8
IL,1982,130.7,10.007,89.833,0.17,24.74,107.6,135.2,131.8
IL,1983,127.9,10.007,89.833,0.17,24.74,107.6,135.2,131.8
IL,1984,124,10.007,89.833,0.17,24.74,107.6,135.2,131.8
IL,1985,121.6,10.007,89.833,0.17,24.74,107.6,135.2,131.8
IL,1986,118.2,10.007,89.833,0.17,24.74,107.6,135.2,131.8
IL,1987,109.5,10.007,89.833,0.17,24.74,107.6,135.2,131.8
IL,1988,107.6,10.007,89.833,0.17,24.74,107.6,135.2,131.8
IL,1989,104.6,10.007,89.833,0.17,24.74,107.6,135.2,131.8
IL,1990,94.1,10.007,89.833,0.17,24.74,107.6,135.2,131.8
IL,1991,96.1,10.007,89.833,0.17,24.74,107.6,135.2,131.8
IL,1992,94.8,10.007,89.833,0.17,24.74,107.6,135.2,131.8
IL,1993,94.6,10.007,89.833,0.17,24.74,107.6,135.2,131.8
IL,1994,85.7,10.007,89.833,0.17,24.74,107.6,135.2,131.8
IL,1995,84.3,10.007,89.833,0.17,24.74,107.6,135.2,131.8
IL,1996,81.8,10.007,89.833,0.17,24.74,107.6,135.2,131.8
IL,1997,79.6,10.007,89.833,0.17,24.74,107.6,135.2,131.8
IL,1998,80.3,10.007,89.833,0.17,24.74,107.6,135.2,131.8
IL,1999,72.2,10.007,89.833,0.17,24.74,107.6,135.2,131.8
IL,2000,70,10.007,89.833,0.17,24.74,107.6,135.2,131.8
IN,1970,134.6,9.832,81.089,0.175,21.98,134,146.9,162.4
IN,1971,139.3,9.832,81.089,0.175,21.98,134,146.9,162.4
IN,1972,149.2,9.832,81.089,0.175,21.98,134,146.9,162.4
IN,1973,156,9.832,81.089,0.175,21.98,134,146.9,162.4
IN,1974,159.6,9.832,81.089,0.175,21.98,134,146.9,162.4
IN,1975,162.4,9.832,81.089,0.175,21.98,134,146.9,162.4
IN,1976,166.6,9.832,81.089,0.175,21.98,134,146.9,162.4
IN,1977,173,9.832,81.089,0.175,21.98,134,146.9,162.4
IN,1978,150.9,9.832,81.089,0.175,21.98,134,146.9,162.4
IN,1979,148.9,9.832,81.089,0.175,21.98,134,146.9,162.4
IN,1980,146.9,9.832,81.089,0.175,21.98,134,146.9,162.4
IN,1981,148.5,9.832,81.089,0.175,21.98,134,146.9,162.4
IN,1982,147.7,9.832,81.089,0.175,21.98,134,146.9,162.4
IN,1983,143,9.832,81.089,0.175,21.98,134,146.9,162.4
IN,1984,137.8,9.832,81.089,0.175,21.98,134,146.9,162.4
IN,1985,135.3,9.832,81.089,0.175,21.98,134,146.9,162.4
IN,1986,137.6,9.832,81.089,0.175,21.98,134,146.9,162.4
IN,1987,134,9.832,81.089,0.175,21.98,134,146.9,162.4
IN,1988,134,9.832,81.089,0.175,21.98,134,146.9,162.4
IN,1989,132.5,9.832,81.089,0.175,21.98,134,146.9,162.4
IN,1990,128.3,9.832,81.089,0.175,21.98,134,146.9,162.4
IN,1991,127.2,9.832,81.089,0.175,21.98,134,146.9,162.4
IN,1992,128.2,9.832,81.089,0.175,21.98,134,146.9,162.4
IN,1993,126.8,9.832,81.089,0.175,21.98,134,146.9,162.4
IN,1994,128.2,9.832,81.089,0.175,21.98,134,146.9,162.4
IN,1995,135.4,9.832,81.089,0.175,21.98,134,146.9,162.4
IN,1996,135.1,9.832,81.089,0.175,21.98,134,146.9,162.4
IN,1997,135.3,9.832,81.089,0.175,21.98,134,146.9,162.4
IN,1998,135.9,9.832,81.089,0.175,21.98,134,146.9,162.4
IN,1999,133.3,9.832,81.089,0.175,21.98,134,146.9,162.4
IN,2000,125.5,9.832,81.089,0.175,21.98,134,146.9,162.4
KS,1970,114,9.917,87.789,0.171,19.94,103.2,127.1,123.4
KS,1971,102.8,9.917,87.789,0.171,19.94,103.2,127.1,123.4
KS,1972,111,9.917,87.789,0.171,19.94,103.2,127.1,123.4
KS,1973,115.2,9.917,87.789,0.171,19.94,103.2,127.1,123.4
KS,1974,118.6,9.917,87.789,0.171,19.94,103.2,127.1,123.4
KS,1975,123.4,9.917,87.789,0.171,19.94,103.2,127.1,123.4
KS,1976,127.7,9.917,87.789,0.171,19.94,103.2,127.1,123.4
KS,1977,127.9,9.917,87.789,0.171,19.94,103.2,127.1,123.4
KS,1978,127.1,9.917,87.789,0.171,19.94,103.2,127.1,123.4
KS,1979,126.4,9.917,87.789,0.171,19.94,103.2,127.1,123.4
KS,1980,127.1,9.917,87.789,0.171,19.94,103.2,127.1,123.4
KS,1981,132,9.917,87.789,0.171,19.94,103.2,127.1,123.4
KS,1982,130.9,9.917,87.789,0.171,19.94,103.2,127.1,123.4
KS,1983,127.6,9.917,87.789,0.171,19.94,103.2,127.1,123.4
KS,1984,121.7,9.917,87.789,0.171,19.94,103.2,127.1,123.4
KS,1985,115.7,9.917,87.789,0.171,19.94,103.2,127.1,123.4
KS,1986,109.4,9.917,87.789,0.171,19.94,103.2,127.1,123.4
KS,1987,105.2,9.917,87.789,0.171,19.94,103.2,127.1,123.4
KS,1988,103.2,9.917,87.789,0.171,19.94,103.2,127.1,123.4
KS,1989,96.5,9.917,87.789,0.171,19.94,103.2,127.1,123.4
KS,1990,94.3,9.917,87.789,0.171,19.94,103.2,127.1,123.4
KS,1991,91.8,9.917,87.789,0.171,19.94,103.2,127.1,123.4
KS,1992,90,9.917,87.789,0.171,19.94,103.2,127.1,123.4
KS,1993,89.9,9.917,87.789,0.171,19.94,103.2,127.1,123.4
KS,1994,89.1,9.917,87.789,0.171,19.94,103.2,127.1,123.4
KS,1995,90.1,9.917,87.789,0.171,19.94,103.2,127.1,123.4
KS,1996,88.7,9.917,87.789,0.171,19.94,103.2,127.1,123.4
KS,1997,89.2,9.917,87.789,0.171,19.94,103.2,127.1,123.4
KS,1998,87.6,9.917,87.789,0.171,19.94,103.2,127.1,123.4
KS,1999,83.3,9.917,87.789,0.171,19.94,103.2,127.1,123.4
KS,2000,79.8,9.917,87.789,0.171,19.94,103.2,127.1,123.4
KY,1970,155.8,9.695,71.489,0.175,18.94,173.2,215.3,223
KY,1971,163.5,9.695,71.489,0.175,18.94,173.2,215.3,223
KY,1972,179.4,9.695,71.489,0.175,18.94,173.2,215.3,223
KY,1973,201.9,9.695,71.489,0.175,18.94,173.2,215.3,223
